S,Pc kpa
0.458333333,26.487
0.43137108,26.487
0.338820019,25.4079
0.393006803,25.4079
0.117818259,22.9554
0.124046098,22.9554
0.174709952,21.4839
0.167703176,21.4839
0.155297736,19.5219
0.15967232,19.5219
0.203614586,17.1675
0.214513902,17.1675
0.178871222,14.715
0.186246356,14.715
0.216292965,12.2625
0.197292572,12.2625
0.211381707,10.2024
0.206659226,10.2024
0.270260927,7.848
0.282242358,7.848
0.45376694,6.867
0.406911178,6.867
0.589559334,5.7879
0.530994599,5.7879
0.571717248,4.7088
0.55874957,4.7088
0.782300991,2.943
0.802127455,2.943
0.851893358,1.5696
0.852209711,1.5696
0.98517001,0.0981
1,0.0981
